"last","first","middle","TITLE","ORCID"
"Méndez Leal","Adriana","S.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Meyer","Benjamin",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Meyer","Kristin","N.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Mihai","Glad",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Mitsis","Georgios","D.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Moll","Jorge",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Nielson","Dylan","M.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Nilsonne","Gustav",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Notter","Michael","P.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Olivetti","Emanuele",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Onicas","Adrian","I.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Papale","Paolo",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Patil","Kaustubh","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Peelle","Jonathan","E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Pérez","Alexandre",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Pischedda","Doris",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Poline","Jean-Baptiste",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Prystauka","Yanina",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Ray","Shruti",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Reuter-Lorenz","Patricia","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Reynolds","Richard","C.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Ricciardi","Emiliano",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Rieck","Jenny","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Rodriguez-Thompson","Anais","M.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Romyn","Anthony",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Salo","Taylor",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Samanez-Larkin","Gregory","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Sanz-Morales","Emilio",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Schlichting","Margaret","L.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Schultz","Douglas","H.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Shen","Qiang",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Sheridan","Margaret","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Silvers","Jennifer","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Skagerlund","Kenny",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Smith","Alec",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Smith","David","V.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Sokol-Hessner","Peter",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Steinkamp","Simon","R.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Tashjian","Sarah","M.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Thirion","Bertrand",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Thorp","John","N.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Tinghög","Gustav",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Tisdall","Loreen",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Tompson","Steven","H.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Toro-Serey","Claudio",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Torre Tresols","Juan","Jesus","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Tozzi","Leonardo",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Truong","Vuong",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Turella","Luca",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"van ‘t Veer","Anna","E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Verguts","Tom",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Vettel","Jean","M.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Vijayarajah","Sagana",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Vo","Khoi",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Wall","Matthew","B.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Weeda","Wouter","D.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Weis","Susanne",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Wisniewski","David",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Xifra-Porxas","Alba",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Yearling","Emily","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Yoon","Sangsuk",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Yuan","Rui",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Yuen","Kenneth","S. L.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Zhang","Lei",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Zhang","Xu",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Zosky","Joshua","E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Nichols","Thomas","E.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Poldrack","Russell","A.","variability in the analysis of a single neuroimaging dataset by many teams",NA
"Schonberg","Tom",NA,"variability in the analysis of a single neuroimaging dataset by many teams",NA
"Gehrmann","Sebastian",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Adewumi","Tosin",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Aggarwal","Karmanya",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Ammanamanchi","Pawan","Sasanka","the gem benchmark natural language generation its evaluation and metrics",NA
"Aremu","Anuoluwapo",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Bosselut","Antoine",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Chandu","Khyathi","Raghavi","the gem benchmark natural language generation its evaluation and metrics",NA
"Clinciu","Miruna-Adriana",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Das","Dipanjan",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Dhole","Kaustubh",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
"Du","Wanyu",NA,"the gem benchmark natural language generation its evaluation and metrics",NA
