"title","author","journal","number","cites","year","cid","pubid","scholar"
"differential patterns of planning impairments in parkinson s disease and sub clinical signs of","L Köstering, A McKinlay, C Stahl, CP Kaller","","",0,2012,NA,"Amrzk_ktLr0C","hMOtOAQAAAAJ"
"impulsivität  theorie  struktur und messung","F Schmitz, C Stahl, A Voss, M Nuszbaum, KC Klauer","Suchttherapie","12 (S 01), S5_1",0,2011,NA,"r0BpntZqJG4C","hMOtOAQAAAAJ"
"introduction  cognitive methods in social psychology","A Voss, C Stahl, KC Klauer","Cognitive methods in social psychology","1-14",0,2011,NA,"MSzX15-gZgkC","hMOtOAQAAAAJ"
"the lalent class hierarchical approach to parameter heterogeneity in multinomial models  first applications","C Stahl","INTERNATIONAL JOURNAL OF PSYCHOLOGY","43 (3-4), 569-569",0,2008,NA,"isC4tDSrTZIC","hMOtOAQAAAAJ"
" new directions in multinomial modeling  a special issue of the zeitschrift für psychologie journal of psychology","C Stahl, T Meiser","Zeitschrift für Psychologie/Journal of Psychology","216 (2), 125-125",0,2008,NA,"eJD0kABLposC","hMOtOAQAAAAJ"
"a simplified conjoint recognition paradigm for the measurement of verbatim and gist memory","C Stahl, KC Klauer","Journal of Experimental Psychology: Learning Memory and Cognition","",0,2008,NA,"maZDTaKrznsC","hMOtOAQAAAAJ"
"impetuosity a core characteristic of the borderline personality disorder  a comparative study of borderline patients and healthy control","L Gutz, K Bader, K Lieb, G Jacob, C Stahl","NERVENARZT","78, 197-197",0,2007,NA,"k_IJM867U9cC","hMOtOAQAAAAJ"
"ruprecht karls university heidelberg","C Stahl, A Voss, F Schmitz, Y Nuszbaum, O Tüscher, K Lieb, KC Klauer","","",0,NA,NA,"g9YHGIZn7mcC","hMOtOAQAAAAJ"
"assumptions of the process dissociation procedure are violated in sequence learning","M Barth, C Stahl, H Haider","Unpublished manuscript","2016, 11-0",0,NA,NA,"OqYjx1B7R3oC","hMOtOAQAAAAJ"
"correction to stahl  klauer    erdfelder  2008  matching bias in the selection task is not eliminated by explicit negations ","C Stahl","","",0,NA,NA,"P2d6BWbXU0IC","hMOtOAQAAAAJ"
"author note","K Bading, C Stahl, K Rothermund","","",0,NA,NA,"yL7DKRohVA8C","hMOtOAQAAAAJ"
"hierarchical latent class multinomial processing tree model of affect misattribution","EP LeBel, C Stahl","","",0,NA,NA,"zGWyAL6qfKUC","hMOtOAQAAAAJ"
"effects of explicit reference to learning contexts on the extinction of evaluative conditioning and expectancies","F Aust, C Stahl","","",0,NA,NA,"TY5xIG7f_2sC","hMOtOAQAAAAJ"
"the dominance of associative theorizing in implicit attitude research  propositional and behavioral alternatives","S Hughes, D Barnes-Holmes, J De Houwer","The Psychological Record","61 (3), 6",200,2011,"13476719569716197452","u-x6o8ySG0sC","Jrp7jxYAAAAJ"
"the basic account","S Hughes, D Barnes‐Holmes","The Wiley handbook of contextual behavioral science","129",155,2015,"11161919134706721725","O3NaXMp0MMsC","Jrp7jxYAAAAJ"
"holding on to our functional roots when exploring new intellectual islands  a voyage through implicit cognition research","S Hughes, D Barnes-Holmes, N Vahey","Journal of Contextual Behavioral Science","1 (1), 17-38",151,2012,"9736790251716873679","IjCSPb-OGe4C","Jrp7jxYAAAAJ"
"hidden invalidity among 15 commonly used measures in social and personality psychology","I Hussey, S Hughes","Advances in Methods and Practices in Psychological Science","2515245919882903",129,2020,"7729708018711568525","HoB7MX3m0LUC","Jrp7jxYAAAAJ"
"misconceptions about psychological science  a review","S Hughes, F Lyddy, S Lambe","Psychology Learning & Teaching","12 (1), 20-31",108,2013,"11545621478045347698","UeHWp8X0CEIC","Jrp7jxYAAAAJ"
"the relational responding task  toward a new implicit measure of beliefs","J De Houwer, N Heider, A Spruyt, A Roets, S Hughes","Frontiers in psychology","6, 319",103,2015,"17245453253865544575","3fE2CSJIrl8C","Jrp7jxYAAAAJ"
"crowdsourcing hypothesis tests  making transparent how design choices shape research results ","JF Landy, ML Jia, IL Ding, D Viganola, W Tierney, A Dreber, ...","Psychological Bulletin","146 (5), 451",84,2020,"12586346381331624242","M05iB0D1s5AC","Jrp7jxYAAAAJ"
"on the formation and persistence of implicit attitudes  new evidence from the implicit relational assessment procedure  irap ","S Hughes, D Barnes-Holmes","The Psychological Record","61 (3), 10",69,2011,"13896875010980247213","d1gkVwhDpl0C","Jrp7jxYAAAAJ"
"to be or want to be  disentangling the role of actual versus ideal self in implicit self esteem","J Remue, S Hughes, J De Houwer, R De Raedt","PloS one","9 (9), e108837",66,2014,"3850102122303033138","LkGwnXOMwfcC","Jrp7jxYAAAAJ"
"a functional approach to the study of implicit cognition  the irap and the rec model","SJ Hughes, D Barnes-Holmes","Advances in relational frame theory & contextual behavioural science …","",65,2013,"5953093419820667348","_FxGoFyzp5QC","Jrp7jxYAAAAJ"
"a systematic review of pliance  tracking  and augmenting","A Kissi, S Hughes, G Mertens, D Barnes-Holmes, J De Houwer, ...","Behavior modification","41 (5), 683-707",61,2017,"13734949291451660353","hFOr9nPyWt4C","Jrp7jxYAAAAJ"
"the dark side of rule governed behavior  an experimental analysis of problematic rule following in an adolescent population with depressive symptomatology","D McAuliffe, S Hughes, D Barnes-Holmes","Behavior modification","38 (4), 587-613",61,2014,"11608240987938812576","ufrVoPGSRksC","Jrp7jxYAAAAJ"
"how do actions influence attitudes  an inferential account of the impact of action performance on stimulus evaluation","P Van Dessel, S Hughes, J De Houwer","Personality and Social Psychology Review","23 (3), 267-284",60,2019,"10968126554003674204","isC4tDSrTZIC","Jrp7jxYAAAAJ"
"associative concept learning  stimulus equivalence  and relational frame theory  working out the similarities and differences between human and nonhuman behavior","S Hughes, D Barnes‐Holmes","Journal of the experimental analysis of behavior","101 (1), 156-160",54,2014,"15956254580238066996","WF5omc3nYNoC","Jrp7jxYAAAAJ"
"evaluative conditioning as a symbolic phenomenon  on the relation between evaluative conditioning  evaluative conditioning via instructions  and persuasion","J De Houwer, S Hughes","Social Cognition","34 (5), 480-494",51,2016,"10798399324455000161","4TOpqqG69KYC","Jrp7jxYAAAAJ"
"unreliable yet still replicable  a comment on lebel and paunonen  2011 ","M De Schryver, S Hughes, Y Rosseel, J De Houwer","Frontiers in Psychology","6, 2039",48,2015,"141736792984770974","ULOm3_A8WrAC","Jrp7jxYAAAAJ"
"expanding the boundaries of evaluative learning research  how intersecting regularities shape our likes and dislikes ","S Hughes, J De Houwer, M Perugini","Journal of Experimental Psychology: General","145 (6), 731",44,2016,"14852591646119019877","hqOjcs7Dif8C","Jrp7jxYAAAAJ"
"when people co occur with good or bad events  graded effects of relational qualifiers on evaluative conditioning","S Hughes, Y Ye, P Van Dessel, J De Houwer","Personality and Social Psychology Bulletin","45 (2), 196-208",42,2019,"10958244771147536966","r0BpntZqJG4C","Jrp7jxYAAAAJ"
"the functional cognitive framework for psychological research  controversies and resolutions","S Hughes, J De Houwer, M Perugini","International Journal of Psychology","51 (1), 4-14",39,2016,"7186061518572553065","kNdYIx-mwKoC","Jrp7jxYAAAAJ"
"many labs 5  testing pre data collection peer review as an intervention to increase replicability","CR Ebersole, MB Mathur, E Baranski, DJ Bart-Plange, NR Buttrick, ...","Advances in Methods and Practices in Psychological Science","3 (3), 309-331",36,2020,"14686432759899728430,12623478990382551079","pyW8ca7W8N0C","Jrp7jxYAAAAJ"
"the impact of language and response format on student endorsement of psychological misconceptions","S Hughes, F Lyddy, R Kaplan","Teaching of Psychology","40 (1), 31-37",36,2013,"3581430740726104016","2osOgNQ5qMEC","Jrp7jxYAAAAJ"
"consequence based approach avoidance training  a new and improved method for changing behavior","P Van Dessel, S Hughes, J De Houwer","Psychological science","29 (12), 1899-1910",35,2018,"12963257627363263092","iH-uZ7U-co4C","Jrp7jxYAAAAJ"
"associative learning as higher order cognition  learning in human and nonhuman animals from the perspective of propositional theories and relational frame theory","J De Houwer, S Hughes, D Barnes-Holmes","Journal of Comparative Psychology","",34,2015,"11741437341781151161","0EnyYjriUFMC","Jrp7jxYAAAAJ"
"the moderating impact of distal regularities on the effect of stimulus pairings","S Hughes, J De Houwer, D Barnes-Holmes","Experimental psychology","",33,2016,"7830076315365916635,6178285564469126403","5nxA0vEk-isC","Jrp7jxYAAAAJ"
"attitudes towards psychology as a science and the persistence of psychological misconceptions in psychology undergraduates","F Lyddy, S Hughes","Cambridge Scholars Publishing","",33,2012,"15863560357137270397","Tyk-4Ss8FVUC","Jrp7jxYAAAAJ"
"a functional perspective on personality","M Perugini, G Costantini, S Hughes, J De Houwer","International Journal of Psychology","51 (1), 33-39",32,2016,"9884245305995356364","MXK_kJrjxJIC","Jrp7jxYAAAAJ"
"highly prevalent but not always persistent undergraduate and graduate student s misconceptions about psychology","S Hughes, F Lyddy, R Kaplan, AL Nichols, H Miller, CG Saad, K Dukes, ...","Teaching of Psychology","42 (1), 34-42",30,2015,"1121527795333591938","roLk4NBRz8UC","Jrp7jxYAAAAJ"
"mechanisms underlying effects of approach avoidance training on stimulus evaluation ","P Van Dessel, AB Eder, S Hughes","Journal of Experimental Psychology: Learning, Memory, and Cognition","44 (8), 1224",28,2018,"11513444228934390392","R3hNpaxXUhUC","Jrp7jxYAAAAJ"
"psychological engineering  a functional cognitive perspective on applied psychology","J De Houwer, S Hughes, D Barnes-Holmes","Journal of Applied Research in Memory and Cognition","6 (1), 1-13",27,2017,"193386047795684918","ZeXyd9-uunAC","Jrp7jxYAAAAJ"
"faking revisited  exerting strategic control over performance on the implicit relational assessment procedure","S Hughes, I Hussey, B Corrigan, K Jolie, C Murphy, D Barnes‐Holmes","European Journal of Social Psychology","46 (5), 632-648",27,2016,"10342601221690169163","M3ejUd6NZC8C","Jrp7jxYAAAAJ"
"the psychology of learning  an introduction from a functional cognitive perspective","J de Houwer, S Hughes","MIT Press","",26,2020,"8823953271081505052","zA6iFVUQeVQC","Jrp7jxYAAAAJ"
"the amperor s new clothes  performance on the affect misattribution procedure is mainly driven by awareness of influence of the primes","J Cummins, I Hussey, S Hughes","Preprint]. PsyArXiv. https://doi. org/","/10.31234/osf. io/d5zn8",21,2019,"1621942641746584207","lSLTfruPkqcC","Jrp7jxYAAAAJ"
"the irap is nonrelative but not acontextual  changes to the contrast category influence men s dehumanization of women","I Hussey, DN Mhaoileoin, D Barnes-Holmes, T Ohtsuki, N Kishita, ...","The Psychological Record","66 (2), 291-299",21,2016,"11239752833755305697","YOwf2qJgpHMC","Jrp7jxYAAAAJ"
"examining the moderating impact of plys and tracks on the insensitivity effect  a preliminary investigation","A Kissi, S Hughes, M De Schryver, J De Houwer, G Crombez","The Psychological Record","68 (4), 431-440",20,2018,"4688998889066685494","RHpTSmoSYBkC","Jrp7jxYAAAAJ"
"reflecting on 25 years of research using implicit measures  recommendations for their future use","P Van Dessel, J Cummins, S Hughes, S Kasran, F Cathelyn, T Moran","Social Cognition","38 (Supplement), s223-s242",19,2020,"7507524418515566588","fPk4N6BV_jEC","Jrp7jxYAAAAJ"
"the development and validation of an implicit measure of competence need satisfaction","J van der Kaap-Deeder, J De Houwer, S Hughes, A Spruyt, ...","Motivation and Emotion","42 (5), 615-637",19,2018,"6145474462711023006","4JMBOYKVnBMC","Jrp7jxYAAAAJ"
"environmental regularities as a concept for carving up the realm of learning research  implications for relational frame theory","J De Houwer, S Hughes","Journal of Contextual Behavioral Science","6 (3), 343-346",18,2017,"1855891623428482378","mVmsd5A6BfQC","Jrp7jxYAAAAJ"
"on the symbolic generalization of likes and dislikes","S Hughes, D Barnes-Holmes, P Van Dessel, JH de Almeida, I Stewart, ...","Journal of Experimental Social Psychology","79, 365-377",17,2018,"1273820720722065453","maZDTaKrznsC","Jrp7jxYAAAAJ"
"resilience factors in children with juvenile idiopathic arthritis and their parents  the role of child and parent psychological flexibility ","M Beeckman, S Hughes, D van Ryckeghem, E Van Hoecke, J Dehoorne, ...","Pain Medicine: The Official Journal of the American Academy of Pain Medicine","",17,NA,"7658437663412366081","k_IJM867U9cC","Jrp7jxYAAAAJ"
"evaluative conditioning effects are modulated by the nature of contextual pairings","S Hughes, Y Ye, J De Houwer","Cognition and Emotion","33 (5), 871-884",15,2019,"18034946597312838427","bEWYMUwI8FkC","Jrp7jxYAAAAJ"
"the shared features principle  if two objects share a feature  people assume those objects also share other features ","S Hughes, J De Houwer, S Mattavelli, I Hussey","Journal of Experimental Psychology: General","149 (12), 2264",14,2020,"11940588064188577273","g5m5HwL7SMYC","Jrp7jxYAAAAJ"
"the impact of instruction and experience based evaluative learning on iat performance  a quad model perspective","CT Smith, J Calanchini, S Hughes, P Van Dessel, J De Houwer","Cognition and Emotion","34 (1), 21-41",13,2020,"16824209786010803321","NaGl4SEjCO4C","Jrp7jxYAAAAJ"
"the philosophy of science as it applies to clinical psychology","S Hughes","Process-Based CBT: The Science and Core Clinical Competencies of Cognitive …","",13,2018,"1491927699529932885","e5wmG9Sq2KIC","Jrp7jxYAAAAJ"
"implicit cross community biases revisited  evidence for ingroup favoritism in the absence of outgroup derogation in northern ireland","S Hughes, D Barnes-Holmes, S Smyth","The Psychological Record","67 (1), 97-107",12,2017,"7680815867760426528","IWHjjKOFINEC","Jrp7jxYAAAAJ"
"a contextual behavioral approach to the study of  persecutory  delusions","C Stewart, I Stewart, S Hughes","Journal of Contextual Behavioral Science","5 (4), 235-246",12,2016,"7027938498317819423","7PzlFSSx8tAC","Jrp7jxYAAAAJ"
"obesity  food restriction  and implicit attitudes to healthy and unhealthy foods  lessons learned from the implicit relational assessment procedure","I McKenna, S Hughes, D Barnes-Holmes, M De Schryver, R Yoder, ...","Appetite","100, 41-54",12,2016,"15825884387536614964","_kc_bZDykSQC","Jrp7jxYAAAAJ"
"on the assumptions that we make about the world around us  a conceptual framework for feature transformation effects","J De Houwer, J Richetin, S Hughes, M Perugini, S Vazire, K Corker","Collabra: Psychology","5 (1)",10,2019,"1269795025267701997","35N4QoGY0k4C","Jrp7jxYAAAAJ"
"how an understanding of our ability to adhere to verbal rules can increase insight into  mal  adaptive functioning in chronic pain","M Beeckman, S Hughes, A Kissi, LE Simons, L Goubert","The Journal of Pain","20 (10), 1141-1154",8,2019,"11971590242012659047","RGFaLdJalmkC","Jrp7jxYAAAAJ"
"stroop like effects of derived stimulus stimulus relations ","B Liefooghe, S Hughes, JR Schmidt, J De Houwer","Journal of Experimental Psychology: Learning, Memory, and Cognition","46 (2), 327",7,2020,"5928599750401873794","vV6vV6tmYwMC","Jrp7jxYAAAAJ"
"toward a cumulative science of emotion  a functional cognitive framework for emotion research","J De Houwer, S Hughes","Cognition and Emotion","33 (1), 61-66",7,2019,"13623533132776180545","TFP_iSt0sucC","Jrp7jxYAAAAJ"
"bridging the divide between functional and cognitive psychology","J De Houwer, SJ Hughes, D Barnes-Holmes","Journal of Applied Research in Memory and Cognition","6 (1), 47-50",7,2017,"5970365454090706569","-f6ydRqryjwC","Jrp7jxYAAAAJ"
"investigating how parental instructions and protective responses mediate the relationship between parental psychological flexibility and pain related behavior in adolescents  ","M Beeckman, LE Simons, S Hughes, T Loeys, L Goubert","Frontiers in Psychology","10, 2350",6,2019,"3210545329840963781","2P1L_qKh6hAC","Jrp7jxYAAAAJ"
